City,City,Country,Latitude,Longitude,Date,Cloudiness,Humidity,Max Temperature,Wind Speed
84,kapaa,US,22.0752,-159.319,1623262915,20,69,299.33,2.24
85,sobolevo,RU,54.4299,31.8996,1623262916,52,86,287.86,3.84
86,sale,MA,34.0389,-6.8166,1623262916,31,83,298.16,2.57
87,barcelos,PT,41.5388,-8.6151,1623262917,9,55,303.66,4.36
88,carutapera,BR,-1.195,-46.02,1623262917,83,74,301.7,3.35
89,beaupre,CA,47.0443,-70.8953,1623262918,23,42,299.65,2.24
90,norman wells,CA,65.282,-126.8329,1623262919,20,42,293.17,5.66
91,ambunti,PG,-4.2365,142.8448,1623262919,100,100,296.03,0.64
92,sao filipe,CV,14.8961,-24.4956,1623262920,41,79,297.48,5.73
93,gazli,UZ,40.1333,63.45,1623262921,0,16,304.64,1.96
94,parrsboro,CA,45.4001,-64.332,1623262921,99,64,299.49,7.15
95,yar-sale,RU,66.8333,70.8333,1623262922,84,50,282.01,2.39
96,beira,MZ,-19.8436,34.8389,1623262923,20,83,295.2,2.57
97,mandalgovi,MN,45.7625,106.2708,1623262923,68,15,289.67,1.96
98,cape town,ZA,-33.9258,18.4232,1623262678,0,90,288.86,2.38
99,caravelas,BR,-17.7125,-39.2481,1623262924,27,66,299.35,3.49
100,matara,LK,5.9485,80.5353,1623262925,90,88,299.23,4.3
101,road town,VG,18.4167,-64.6167,1623262913,75,74,302.7,5.14
102,marabba,SD,12.35,32.1833,1623262926,91,35,306.25,7.58
103,sao jose da coroa grande,BR,-8.8978,-35.1478,1623262927,25,70,299.96,4.27
104,pisco,PE,-13.7,-76.2167,1623262927,20,82,293.16,3.6
105,yellowknife,CA,62.456,-114.3525,1623262868,75,62,286.44,9.26
106,pevek,RU,69.7008,170.3133,1623262929,97,94,273.58,2.78
107,brae,GB,60.3964,-1.353,1623262929,100,97,285.1,4.81
108,ilulissat,GL,69.2167,-51.1,1623262930,20,49,282.16,4.12
109,chuy,UY,-33.6971,-53.4616,1623262931,99,90,289.47,5.76
110,mnogovershinnyy,RU,53.9353,139.9242,1623262931,9,73,289.95,2.67
111,sao felix do xingu,BR,-6.6447,-51.995,1623262932,96,33,306.84,1.8
112,uyuni,BO,-20.4597,-66.825,1623262933,55,20,280.89,9.74
113,torbay,CA,47.6666,-52.7314,1623262933,75,69,284.42,5.14
114,hay river,CA,60.8156,-115.7999,1623262934,40,32,293.14,4.12
115,beibei,CN,29.8256,106.4339,1623262935,100,97,294.41,0.47
116,moorhead,US,46.8739,-96.7676,1623262647,20,44,307.16,2.24
